DQ335392	CladeC;C1020
DQ335394	CladeC;C1105
DQ335395	CladeC;C1064
DQ335398	CladeC;C1120
DQ335400	CladeC;C1102
DQ335403	CladeC;C1063
DQ335404	CladeC;C1119
DQ335407	CladeC;C1019
DQ335408	CladeC;C1018
DQ480600	CladeC;C1060
DQ480604	CladeC;C1012
DQ480605	CladeC;C1011
DQ480607	CladeC;C1010
DQ480608	CladeC;C1009
DQ480609	CladeC;C1059
DQ480613	CladeC;C1008
DQ480619	CladeC;C1057
DQ480624	CladeC;C1007
DQ480629	CladeC;C1006
DQ480633	CladeC;C1005
DQ480635	CladeC;C1004
DQ480639	CladeC;C1003
DQ480640	CladeC;C1055
DQ480642	CladeC;C1013
DQ480643	CladeC;C1130
DQ485148	CladeE;E106
DQ838544	CladeC;C1002
DQ865210	CladeA;A136
DQ865212	CladeB;B19
DQ865213	CladeB;B21
DQ865214	CladeD;D4
EF378615	CladeA;A126
EF378616	CladeA;A125
EF378617	CladeA;A124
EF378618	CladeA;A123
EF378619	CladeA;A122
EF378620	CladeA;A138
EF378621	CladeA;A137
EF473656	CladeC;C1236
EF541145	CladeC;C35.3
EF541147	CladeC;C33a
EF541149	CladeC;C3t
EF634157	CladeC;C1145andC1.5
EF656428	CladeA;A130
EF656429	CladeA;A127
EF656430	CladeA;A128
EF656431	CladeA;A129
EF656432	CladeA;A131
EF656433	CladeC;C1147
EF656434	CladeC;C1146
EF656435	CladeD;D118
EU040178	CladeC;C1148
EU074856	CladeA;A155
EU074859	CladeA;A156
EU074860	CladeA;A154
EU074865	CladeB;B125
EU074870	CladeB;B121
EU074871	CladeB;B122
EU074872	CladeB;B123
EU074874	CladeB;B124
EU074878	CladeC;C1231
EU074881	CladeC;C1226
EU074882	CladeC;C1227
EU074883	CladeC;C1228
EU074888	CladeC;C1229
EU074889	CladeC;C1230
EU074890	CladeC;C1224
EU074893	CladeC;C1225
EU074895	CladeD;D123
EU074897	CladeD;D124
EU074900	CladeD;D120
EU074904	CladeD;D121
EU074905	CladeD;D122
EU074908	CladeE;E113
EU074909	CladeE;E114
EU074910	CladeE;E107
EU074912	CladeE;E108
EU074913	CladeE;E109
EU074914	CladeE;E110
EU074915	CladeE;E111
EU074916	CladeE;E112
EU074921	CladeE;E105
EU074922	CladeE;E104
EU074923	CladeE;E103
EU074924	CladeE;E102
EU074925	CladeA;A151
EU074927	CladeA;A152
EU074928	CladeA;A150
EU074929	CladeA;A149
EU074930	CladeA;A140
EU074931	CladeA;A141
EU074932	CladeA;A142
EU074933	CladeA;A143
EU074934	CladeA;A144
EU074935	CladeA;A145
EU074936	CladeA;A146
EU074937	CladeA;A147
EU074938	CladeA;A148
EU074941	CladeC;C1217
EU074943	CladeC;C1218
EU074945	CladeC;C1219
EU074946	CladeC;C1220
EU074947	CladeC;C1221
EU074948	CladeC;C1222
EU074949	CladeC;C1223
EU074950	CladeC;C1209
EU074951	CladeC;C1210
EU074952	CladeC;C1211
EU074954	CladeC;C1212
EU074955	CladeC;C1213andC1.8
EU074956	CladeC;C1214
EU074957	CladeC;C1215
EU074959	CladeC;C1216
EU074960	CladeC;C1205
EU074961	CladeC;C1204
EU074962	CladeA;A139
EU074963	CladeC;C1208
EU074964	CladeC;C1207
EU074965	CladeC;C1206
EU099793	CladeC;C1201
EU099798	CladeC;C1203
EU099799	CladeC;C1202
EU099800	CladeC;C1200
EU099802	CladeC;C1199
EU099810	CladeC;C1198
EU099814	CladeC;C1197
EU099819	CladeC;C1196
EU099820	CladeC;C1192
EU099821	CladeC;C1195
EU099825	CladeB;B119
EU099826	CladeC;C1194
EU099827	CladeC;C1193
EU099831	CladeC;C1189
EU099832	CladeD;D119
EU099833	CladeC;C1191
EU099838	CladeC;C1188
EU099841	CladeC;C1190
EU118163	CladeC;C1232
EU118165	CladeC;C1234
EU118166	CladeC;C1233
EU118167	CladeC;C1235
EU449028	CladeA;A9
EU449041	CladeA;A11
EU449043	CladeA;A3B
EU786015	CladeC;C3.16
EU792882	CladeA;A10
EU792883	CladeA;A12
EU792887	CladeA;A15C
EU792888	CladeA;A16
FJ461493	CladeC;C1.6
FJ461494	CladeC;C1.7
FJ461497	CladeC;C3.2
FJ461502	CladeC;C3.7
FJ461503	CladeC;C3.8
FJ461504	CladeC;C3.9
FJ461505	CladeC;C3.10
FJ461506	CladeC;C3.11
FJ461507	CladeC;C3.12
FJ461508	CladeC;C15.1
FJ461509	CladeC;C15.2
FJ461510	CladeC;C15.3
FJ461511	CladeC;C15.4
FJ461512	CladeC;C15.5
FJ461513	CladeC;C17.2
FJ461514	CladeC;C21.12
FJ461515	CladeC;C21.13
FJ461516	CladeC;C21.14
FJ461517	CladeC;C27.1
FJ461522	CladeC;C45.3
FJ919243	CladeC;C1v1a
FJ919244	CladeC;C1v1b
FN429760	CladeA;A4.1
FN429761	CladeA;A4.2
FN429762	CladeA;A4a.1
FN429763	CladeA;A4.3
FN561559	CladeI;I1
FN561560	CladeI;I2
FN561561	CladeI;I3
FN561562	CladeI;I4
FN563472	CladeC;C15.6
FN563475	CladeC;C15.9
FN827162	CladeC;C21b1
FN827163	CladeC;C26b1
FN827164	CladeC;C26b2
FN827165	CladeC;C26b3
HE578976	CladeA;A1.3
HE578977	CladeA;A1.4
HE578983	CladeC;C1.10
HE578984	CladeC;C1.11
HE578985	CladeC;C1.12
HE578986	CladeC;C1.13
HE578987	CladeC;C1.14
HE578988	CladeC;C1.15
HE578990	CladeC;C1.17
HE578991	CladeC;C1.18
HE578992	CladeC;C1.19
HE578993	CladeC;C1.20
HE578995	CladeC;C1.22
HE578997	CladeC;C1b.1
HE578998	CladeC;C1b.2
HE578999	CladeC;C1b.3
HE579005	CladeC;C3.17
HE579006	CladeC;C3.18
HE579007	CladeC;C3.19
HE579008	CladeC;C3.20
HE579009	CladeC;C3.21
HE579010	CladeC;C3.22
HE579011	CladeC;C3.23
HE579012	CladeC;C3.24
HE579015	CladeC;C15.7
HE579016	CladeC;C15.8
HE579018	CladeC;C15.12
HE579019	CladeC;C15.13
HE579020	CladeC;C15.14
HE579021	CladeC;C15.15
HE579022	CladeC;C15.16
HE579023	CladeC;C15.17
HE579024	CladeC;C15.18
HE579025	CladeC;C15.19
HE579026	CladeC;C15.20
HE579029	CladeC;C21.17
